bill_id,people_id,position
1669121,13010,8
1669121,14166,16
1669121,16748,5
1669121,16869,9
1669121,16870,4
1669121,16956,3
1669121,17529,1
1669121,17713,18
1669121,18516,10
1669121,18795,6
1669121,18946,12
1669121,22040,17
1669140,339,4
1669140,16748,3
1669140,16869,2
1669140,16956,1
1669163,277,1
1669163,339,8
1669163,11527,9
1669163,16748,2
1669163,16869,4
1669163,16870,3
1669163,17713,7
1669163,18946,6
1669163,21372,5
1669184,16869,1
1669202,470,11
1669202,477,5
1669202,481,2
1669202,503,10
1669202,931,7
1669202,16957,1
1669202,18220,9
1669202,20563,3
1669202,20815,8
1669202,22078,4
1669202,22079,6
1669223,16869,1
1669243,16869,2
1669243,21372,1
1669261,277,8
1669261,339,1
1669261,11213,6
1669261,13010,2
1669261,16748,4
1669261,16956,3
1669261,17529,9
1669261,18795,7
1669261,21372,5
1669287,470,6
1669287,477,3
1669287,481,1
1669287,931,2
1669287,11213,7
1669287,16957,4
1669287,18220,5
1669287,18516,8
1669287,22078,9
1669287,22079,10
1669304,470,9
1669304,931,10
1669304,11213,15
1669304,13010,11
1669304,16748,6
1669304,16869,8
1669304,16870,5
1669304,17529,7
1669304,18220,12
1669304,18795,1
1669304,18900,4
1669304,18946,3
1669304,22078,13
1669304,22079,14
1669304,22080,2
1669322,16869,1
1669322,16956,2
1669342,277,2
1669342,339,8
1669342,11527,11
1669342,16869,3
1669342,16870,5
1669342,16956,6
1669342,17529,10
1669342,18795,4
1669342,18900,7
1669342,21372,1
1669342,22080,9
1669364,470,4
1669364,17529,2
1669364,18900,3
1669364,21372,1
1669382,16869,1
1669382,16870,2
1669382,23555,3
1669402,262,5
1669402,470,3
1669402,477,1
1669402,11213,4
1669402,20817,2
1669402,22080,7
1669402,22081,6
1669425,277,12
1669425,339,10
1669425,11527,3
1669425,16748,11
1669425,16869,7
1669425,16870,4
1669425,16956,5
1669425,17713,9
1669425,18795,6
1669425,18946,2
1669425,19038,1
1669425,21372,8
1669444,470,10
1669444,477,5
1669444,481,1
1669444,503,9
1669444,13010,6
1669444,16957,3
1669444,18516,13
1669444,20563,2
1669444,20815,4
1669444,20816,12
1669444,20817,14
1669444,22078,8
1669444,22079,11
1669444,23149,7
1669460,18795,1
1669479,466,2
1669479,470,5
1669479,917,1
1669479,11527,7
1669479,13010,8
1669479,16869,6
1669479,16956,3
1669479,22040,4
1669501,470,9
1669501,477,2
1669501,481,1
1669501,503,11
1669501,931,14
1669501,13010,7
1669501,16957,3
1669501,18220,12
1669501,18516,5
1669501,20563,13
1669501,20815,4
1669501,20816,15
1669501,22078,6
1669501,22079,10
1669501,23149,8
1669517,470,5
1669517,477,2
1669517,11213,1
1669517,18516,6
1669517,20563,3
1669517,22078,4
1669540,470,8
1669540,477,4
1669540,481,1
1669540,503,7
1669540,16957,2
1669540,18516,10
1669540,20815,3
1669540,20816,9
1669540,22078,6
1669540,23149,5
1669556,262,3
1669556,277,2
1669556,917,5
1669556,16869,9
