bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1756687,2789130,text,66508,application/pdf,Introduced,https://legiscan.com/PA/text/HB974/id/2789130,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0974&pn=0994
1756687,2863069,text,74020,application/pdf,Amended,https://legiscan.com/PA/text/HB974/id/2863069,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0974&pn=2412
1756687,2962246,text,72000,application/pdf,Amended,https://legiscan.com/PA/text/HB974/id/2962246,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0974&pn=2733
1756377,2789196,text,89901,application/pdf,Introduced,https://legiscan.com/PA/text/HB975/id/2789196,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0975&pn=0995
1757091,2789918,text,73118,application/pdf,Introduced,https://legiscan.com/PA/text/HB976/id/2789918,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0976&pn=0997
1757091,2846004,text,91087,application/pdf,Amended,https://legiscan.com/PA/text/HB976/id/2846004,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0976&pn=2157
1757204,2789488,text,65685,application/pdf,Introduced,https://legiscan.com/PA/text/HB977/id/2789488,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0977&pn=0998
1757204,3023579,text,75314,application/pdf,Amended,https://legiscan.com/PA/text/HB977/id/3023579,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0977&pn=3708
1757172,2789955,text,71896,application/pdf,Introduced,https://legiscan.com/PA/text/HB978/id/2789955,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0978&pn=0999
1757240,2788992,text,83557,application/pdf,Introduced,https://legiscan.com/PA/text/HB979/id/2788992,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0979&pn=1000
